Year,Month,City_ID,Age_0_to_14_years,Age_15_to_64_yrs,Age_65_yrs_and_over,Age_85_yrs_and_over,Female,Male,Married_or_living_common_law,Not_married_and_not_living_common_law,FirstOfficialLanguage,English,French,English_and_French,Neither_English_nor_French
2023,5,7,376026,1848377,220911,62291,1383265,1331318,1318957,1019607,1,2511500,26013,14171,139464
2023,5,8,101070,400310,95243,12125,298661,297964,280960,214595,1,572456,5508,2732,11279
2023,5,9,144438,564183,148526,18435,432531,424623,392008,320703,1,808667,24181,3896,12837
2023,5,10,48620,164668,41012,5568,128679,125628,116812,88873,1,244856,2399,615,2903
2023,6,1,956481,4297313,1062665,140707,3230173,3086301,2938568,2421417,1,5901483,67506,47263,261110
2023,6,2,734383,2823199,814490,109427,2223981,2148084,1953852,1683833,1,910128,3047850,300304,68070
2023,6,3,279496,1020090,219383,23964,765558,753412,731348,508116,1,1447370,18694,6817,34571
2023,6,4,141805,586938,161058,21222,455851,433960,412618,335378,1,819556,35468,23589,14910
2023,6,5,272426,964109,221875,25701,733743,724674,675093,510889,1,1390378,24217,6410,24228
2023,6,6,73016,330404,88250,13684,162576,158011,235961,185911,1,473721,10389,1833,2597
2023,6,7,376192,1849977,218930,62422,1384718,1332855,1320455,1020933,1,2514431,26017,14168,139521
2023,6,8,101173,400842,95474,12149,299058,298433,281315,215002,1,573305,5505,2734,11310
2023,6,9,144576,564643,148865,18441,432958,425132,392409,321100,1,809623,24156,3907,12858
2023,6,10,48674,164721,41117,5576,128787,125732,116886,88957,1,245056,2397,615,2907
2023,7,1,956139,4299825,1065066,141009,3232277,3088767,2940691,2424207,1,5906163,67444,47208,261179
2023,7,2,734890,2824226,816170,109647,2225464,2149815,1955128,1685263,1,911826,3048637,300955,68145
2023,7,3,279709,1020584,220164,24022,766359,754097,731981,508758,1,1448838,18662,6805,34631
2023,7,4,140801,583280,160615,21175,453229,431476,410154,333741,1,819356,31224,23499,14907
2023,7,5,272770,964680,222571,25754,734600,725428,675653,511597,1,1391998,24178,6405,24277
2023,7,6,73163,331001,88545,13102,159537,155247,236472,186422,1,474749,10395,1841,2602
2023,7,7,376357,1851576,216949,62553,1386170,1334393,1321953,1022260,1,2517362,26020,14164,139579
2023,7,8,101277,401373,95705,12173,299455,298902,281671,215409,1,574155,5502,2736,11340
2023,7,9,144715,565102,149203,18447,433386,425641,392810,321498,1,810579,24131,3918,12880
2023,7,10,48728,164775,41222,5585,128895,125836,116961,89041,1,245257,2395,616,2910
2023,8,1,955796,4302336,1067467,141311,3234382,3091232,2942813,2426997,1,5910843,67381,47154,261247
2023,8,2,735396,2825254,817850,109867,2226946,2151547,1956405,1686694,1,913524,3049424,301607,68221
2023,8,3,279921,1021077,220945,24079,767160,754783,732614,509399,1,1450305,18629,6794,34691
2023,8,4,139796,579623,160171,21128,450606,428993,407690,332104,1,819156,26981,23408,14903
2023,8,5,273113,965251,223268,25806,735458,726182,676213,512304,1,1393618,24140,6399,24325
2023,8,6,73309,331597,88840,12519,156497,152482,236982,186932,1,475776,10400,1848,2608
2023,8,7,376523,1853176,214968,62684,1387623,1335930,1323451,1023586,1,2520293,26024,14161,139636
2023,8,8,101380,401905,95935,12196,299852,299371,282026,215816,1,575004,5499,2737,11371
2023,8,9,144853,565562,149542,18453,433813,426150,393210,321895,1,811535,24106,3929,12901
2023,8,10,48781,164828,41327,5593,129003,125940,117035,89125,1,245457,2393,616,2914
2023,9,1,955453,4304847,1069868,141613,3236486,3093697,2944935,2429787,1,5915523,67319,47099,261316
2023,9,2,735902,2826281,819530,110087,2228428,2153278,1957682,1688124,1,915222,3050211,302258,68296
2023,9,3,280133,1021571,221726,24137,767961,755469,733247,510040,1,1451773,18597,6783,34750
2023,9,4,138792,575965,159727,21081,447984,426509,405226,330467,1,818955,22737,23318,14900
2023,9,5,273457,965823,223964,25858,736315,726937,676773,513012,1,1395238,24102,6394,24373
2023,9,6,73456,332194,89135,11937,153457,149717,237492,187442,1,476804,10406,1855,2614
2023,9,7,376689,1854776,212987,62815,1389075,1337468,1324949,1024912,1,2523223,26028,14157,139693
2023,9,8,101483,402437,96166,12220,300249,299840,282382,216223,1,575854,5496,2739,11401
2023,9,9,144991,566021,149880,18458,434240,426659,393611,322293,1,812491,24080,3940,12922
2023,9,10,48835,164881,41432,5601,129111,126044,117109,89209,1,245657,2391,617,2918
2023,10,1,955110,4307359,1072269,141915,3238591,3096162,2947058,2432577,1,5920203,67257,47045,261384
2023,10,2,736409,2827308,821210,110307,2229910,2155009,1958958,1689555,1,916920,3050998,302909,68372
2023,10,3,280345,1022064,222507,24195,768762,756154,733880,510681,1,1453240,18565,6771,34810
2023,10,4,137787,572308,159284,21034,445362,424026,402762,328830,1,818755,18494,23228,14896
2023,10,5,273801,966394,224661,25910,737173,727691,677333,513720,1,1396858,24063,6388,24422
2023,10,6,73603,332791,89430,11355,150417,146952,238002,187952,1,477832,10412,1863,2619
2023,10,7,376854,1856375,211006,62946,1390528,1339005,1326447,1026239,1,2526154,26031,14154,139750
2023,10,8,101587,402968,96397,12244,300646,300309,282737,216630,1,576703,5493,2741,11432
2023,10,9,145129,566481,150219,18464,434668,427168,394012,322690,1,813447,24055,3951,12944
2023,10,10,48889,164934,41537,5609,129219,126148,117183,89293,1,245857,2389,617,2921
2023,11,1,954768,4309870,1074670,142218,3240695,3098628,2949180,2435368,1,5924883,67195,46990,261453
2023,11,2,736915,2828335,822890,110528,2231393,2156740,1960235,1690985,1,918617,3051785,303560,68447
2023,11,3,280558,1022558,223288,24253,769562,756840,734512,511323,1,1454708,18533,6760,34870
2023,11,4,136783,568650,158840,20988,442740,421542,400298,327193,1,818555,14250,23138,14893
2023,11,5,274145,966965,225358,25963,738030,728445,677892,514428,1,1398478,24025,6383,24470
2023,11,6,73750,333388,89725,10773,147378,144188,238513,188463,1,478860,10418,1870,2625
2023,11,7,377020,1857975,209025,63078,1391980,1340543,1327945,1027565,1,2529085,26035,14150,139808
2023,11,8,101690,403500,96628,12268,301043,300778,283093,217038,1,577552,5490,2743,11463
2023,11,9,145268,566940,150558,18470,435095,427677,394413,323088,1,814402,24030,3963,12965
2023,11,10,48943,164988,41643,5618,129328,126253,117258,89377,1,246058,2388,617,2925
2023,12,1,954425,4312381,1077071,142520,3242800,3101093,2951302,2438158,1,5929562,67133,46936,261521
2023,12,2,737421,2829362,824570,110748,2232875,2158471,1961512,1692416,1,920315,3052572,304211,68523
2023,12,3,280770,1023051,224068,24310,770363,757526,735145,511964,1,1456175,18500,6749,34930
2023,12,4,135778,564993,158396,20941,440118,419059,397833,325555,1,818355,10007,23047,14889
2023,12,5,274489,967536,226054,26015,738888,729199,678452,515135,1,1400097,23987,6377,24518
2023,12,6,73897,333984,90020,10190,144338,141423,239023,188973,1,479888,10423,1877,2631
2023,12,7,377186,1859575,207044,63209,1393433,1342080,1329443,1028891,1,2532016,26039,14147,139865
2023,12,8,101793,404032,96858,12291,301439,301246,283448,217445,1,578402,5487,2744,11493
2023,12,9,145406,567400,150896,18476,435522,428187,394813,323485,1,815358,24005,3974,12986
2023,12,10,48996,165041,41748,5626,129436,126357,117332,89462,1,246258,2386,618,2929
