Year,Month,City_ID,Age_0_to_14_years,Age_15_to_64_yrs,Age_65_yrs_and_over,Age_85_yrs_and_over,Female,Male,Married_or_living_common_law,Not_married_and_not_living_common_law,FirstOfficialLanguage,English,French,English_and_French,Neither_English_nor_French
2021,7,6,69639,316679,81465,27076,232491,221601,224226,174176,1,450081,10257,1665,2466
2021,7,7,372381,1813184,264493,59407,1351310,1297495,1286001,990428,1,2447022,25932,14248,138205
2021,7,8,98797,388613,90167,11603,289929,287648,273141,205639,1,553769,5574,2694,10606
2021,7,9,141397,554074,141077,18307,423130,413423,383192,311960,1,787637,24735,3652,12368
2021,7,10,47438,163497,38700,5387,126301,123338,115179,87023,1,240451,2441,606,2822
2021,8,1,964022,4242064,1009843,134061,3183874,3032066,2891877,2360035,1,5798525,68874,48462,259605
2021,8,2,723244,2800602,777530,104585,2191372,2109999,1925765,1652362,1,872774,3030536,285979,66407
2021,8,3,274827,1009235,202203,22693,747938,738327,717424,494009,1,1415087,19403,7066,33255
2021,8,4,163906,667403,170819,22254,513539,488595,466828,371394,1,823960,128825,25574,14989
2021,8,5,264862,951544,206550,24552,714878,708083,662775,495318,1,1354740,25060,6533,23165
2021,8,6,69786,317275,81760,26493,229451,218836,224736,174686,1,451109,10262,1672,2472
2021,8,7,372547,1814784,262512,59538,1352763,1299032,1287499,991754,1,2449953,25936,14245,138262
2021,8,8,98900,389145,90397,11626,290326,288117,273496,206046,1,554618,5571,2695,10637
2021,8,9,141535,554534,141416,18313,423557,413932,383592,312357,1,788593,24710,3663,12389
2021,8,10,47491,163550,38805,5395,126409,123442,115253,87107,1,240651,2439,606,2826
2021,9,1,963679,4244575,1012244,134363,3185978,3034531,2893999,2362825,1,5803205,68811,48407,259674
2021,9,2,723750,2801629,779210,104805,2192854,2111730,1927042,1653792,1,874472,3031323,286630,66482
2021,9,3,275039,1009729,202984,22751,748739,739013,718057,494650,1,1416555,19371,7055,33314
2021,9,4,162902,663745,170375,22207,510916,486111,464364,369757,1,823759,124581,25484,14986
2021,9,5,265205,952115,207246,24604,715735,708837,663335,496026,1,1356360,25022,6528,23213
2021,9,6,69932,317872,82055,25911,226411,216071,225246,175196,1,452136,10268,1679,2478
2021,9,7,372713,1816384,260531,59669,1354215,1300570,1288997,993080,1,2452883,25940,14241,138319
2021,9,8,99003,389677,90628,11650,290723,288586,273852,206453,1,555468,5568,2697,10667
2021,9,9,141673,554993,141754,18318,423984,414441,383993,312755,1,789549,24684,3674,12410
2021,9,10,47545,163603,38910,5403,126517,123546,115327,87191,1,240851,2437,607,2830
2021,10,1,963336,4247087,1014645,134665,3188083,3036996,2896122,2365615,1,5807885,68749,48353,259742
2021,10,2,724257,2802656,780890,105025,2194336,2113461,1928318,1655223,1,876170,3032110,287281,66558
2021,10,3,275251,1010222,203765,22809,749540,739698,718690,495291,1,1418022,19339,7043,33374
2021,10,4,161897,660088,169932,22160,508294,483628,461900,368120,1,823559,120338,25394,14982
2021,10,5,265549,952686,207943,24656,716593,709591,663895,496734,1,1357980,24983,6522,23262
2021,10,6,70079,318469,82350,25329,223371,213306,225756,175706,1,453164,10274,1687,2483
2021,10,7,372878,1817983,258550,59800,1355668,1302107,1290495,994407,1,2455814,25943,14238,138376
2021,10,8,99107,390208,90859,11674,291120,289055,274207,206860,1,556317,5565,2699,10698
2021,10,9,141811,555453,142093,18324,424412,414950,384394,313152,1,790505,24659,3685,12432
2021,10,10,47599,163656,39015,5411,126625,123650,115401,87275,1,241051,2435,607,2833
2021,11,1,962994,4249598,1017046,134968,3190187,3039462,2898244,2368406,1,5812565,68687,48298,259811
