years,month,city_id,management_administration,financial_accounting,hr_admin,it_engineering,legal_services,education,healthcare,arts_media,transport,manufacturing_production,skilled_trades,csr,population,umemployment_rate ,employment_in_person
2023,4,8,37.31,47.25,38.59,47.25,48,38.75,39.42,34.67,46.32,46.22,57.35,31.07,1547591,10.4,838300
2023,5,8,38.39,48.71,38.27,48.71,43.96,38.84,39.36,37.24,49.04,46.39,56.5,29.95,1548787,6.9,850100
2023,6,8,37.51,48.91,37.97,48.91,46.86,39.41,46.28,37.65,48.03,46.22,56.57,26.79,1549984,7.5,854900
2023,7,8,37.65,48.27,37.77,48.27,47.16,40.77,45.51,36.5,47.45,46.08,55.79,29.21,1551181,6.8,861900
2023,8,8,38.66,46.7,37.27,46.7,44.54,39.86,48.42,35.1,48.19,46.07,56.26,27.08,1552378,9.4,857400
2023,9,8,39.58,46.84,38.08,46.84,45.09,39.23,45.63,34.55,48.21,45.9,57.4,27.58,1553575,8.8,856600
2023,10,8,39.02,47.37,35.66,47.37,45.75,36.09,47.55,34.61,47.17,43.7,57.45,27.03,1554773,7.7,855800
2023,11,8,36.02,47.72,37.82,47.72,45.31,37.79,47.41,34.12,47.89,44.42,57.75,25.18,1555969,7.4,852500
2023,12,8,35.05,42.25,34.66,42.25,39.59,37.26,34.4,32.22,43.68,44.52,55.66,25.41,1557166,7.3,847800
2021,1,9,34.48,43.32,34.92,43.32,37.75,38.66,34.65,31.24,46.56,45.16,56.82,26.9,1581000,7.5,814700
2021,2,9,35.99,42.16,33.17,42.16,41.12,38.42,34.71,34.1,46.66,45.35,52.86,26.93,1582187,8.3,804000
2021,3,9,37.61,43.3,34.53,43.3,38.74,36.52,35.21,33.67,46.41,42.91,53.41,28.04,1583375,6.3,800700
2021,4,9,36.11,43.75,33.75,43.75,39.13,37.26,33.36,34.07,46.52,44.45,52.52,26.36,1584562,10.7,802900
2021,5,9,35.75,42.42,33.13,42.42,40.1,39.55,34.68,32.12,46.6,43.88,53.77,25.98,1585750,8,809000
2021,6,9,37.65,42.4,34.13,42.4,40.63,39.45,35.5,32.31,47.82,43.57,54.12,26.18,1586937,8.5,814000
2021,7,9,37.15,43.08,35.26,43.08,40.72,39.91,36.42,33.67,46.59,44.19,53.54,25.76,1588125,7.5,816400
2021,8,9,38.06,43.74,35.05,43.74,43.01,38.85,34.46,33.14,46.84,44.42,54.83,27.48,1589312,10.4,819600
2021,9,9,38.05,43.11,37.64,43.11,43.61,37.8,35.31,33.59,47.29,45.05,55.99,26.26,1590500,11.4,829600
2021,10,9,37.78,44.04,38.59,44.04,42.84,38.95,35.17,35.07,45.82,45.72,56.49,26.01,1591687,7.7,842000
2021,11,9,40.41,46.54,38.99,46.54,44.95,37.84,38.28,36.21,44.64,46.96,56.37,26.67,1592875,8.5,842300
2021,12,9,39.06,44.33,38.73,44.33,46.33,39.15,43.56,35.39,44.62,47.64,57.06,25.75,1594062,8.2,843100
2022,1,9,41.44,43.4,37.05,43.4,44.67,39.45,55.46,36.78,46.01,49.03,57.91,25.98,1611000,5.9,835700
2022,2,9,39.75,44.59,38.1,44.59,46.89,38.87,41.44,37.07,45.73,48.02,58.71,25.74,1612168,11.2,843600
2022,3,9,39.01,44.14,37.83,44.14,48.26,38.02,44.42,35.18,45.21,46.79,57.67,26.99,1613336,7.6,843300
2022,4,9,40.54,45.49,38.65,45.49,43.74,39.14,34.43,35.33,42.74,46.74,58.05,26.6,1614504,8.3,853700
2022,5,9,38.07,44.96,36.03,44.96,45.25,38.68,23.06,31.73,44.02,48.34,58.2,26.25,1615672,8.7,861700
2022,6,9,40.28,43.4,36.4,43.4,47.81,39.13,35.45,32.9,40.57,45.81,56.89,28.42,1616840,10.8,880400
2022,7,9,39.48,44.46,38.47,44.46,53.38,39.41,35.45,34.04,40.25,45.01,58.87,29.13,1618008,11.3,897100
2022,8,9,39.19,45.44,40.87,45.44,44.92,39.29,36.38,39.63,40.74,45.28,59.25,30.34,1619176,7.7,904700
2022,9,9,37.96,46.58,41.13,46.58,42.93,39.45,35.37,35.51,40.73,44.48,57.17,30.02,1620344,8.8,902300
2022,10,9,38.31,45.65,41.83,45.65,44.95,36.9,36.55,35.26,42.63,46.07,57.09,30.78,1621512,8.4,897400
2022,11,9,39.12,48,43.78,48,43.27,37.9,37.8,35.67,40.76,44.87,57.51,30.42,1622680,6,895000
2022,12,9,40.41,45.46,38.18,45.46,44.26,36.98,37.72,35,40.23,45.52,59.01,29.38,1623848,10.6,886500
2023,1,9,36.13,47.37,37.56,47.37,45.18,38.01,40.06,36.21,43.3,47.56,58.51,29.44,1640000,7,871000
2023,2,9,37.62,48.56,37.44,48.56,44.49,36.84,36.91,35.52,45.31,47.12,57.54,31.07,1641600,8,860200
2023,3,9,37.31,47.25,38.59,47.25,48,38.75,39.42,34.67,46.32,46.22,57.35,29.95,1643200,8.8,861500
2023,4,9,38.39,48.71,38.27,48.71,43.96,38.84,39.36,37.24,49.04,46.39,56.5,26.79,1644800,10.8,877600
2023,5,9,37.51,48.91,37.97,48.91,46.86,39.41,46.28,37.65,48.03,46.22,56.57,29.21,1646400,11.3,893500
2023,6,9,37.65,48.27,37.77,48.27,47.16,40.77,45.51,36.5,47.45,46.08,55.79,27.08,1648000,7.9,912200
2023,7,9,38.66,46.7,37.27,46.7,44.54,39.86,48.42,35.1,48.19,46.07,56.26,27.58,1649600,8.6,922100
2023,8,9,39.58,46.84,38.08,46.84,45.09,39.23,45.63,34.55,48.21,45.9,57.4,27.03,1651200,7.8,935100
2023,9,9,39.02,47.37,35.66,47.37,45.75,36.09,47.55,34.61,47.17,43.7,57.45,25.18,1652800,6.2,928600
2023,10,9,37.02,48.72,37.82,47.72,45.31,38.79,48.41,35.12,48.89,45.42,58.75,25.41,1654400,9.9,921600
2023,11,9,35.05,42.25,34.66,42.25,39.59,37.26,34.4,32.22,43.68,44.52,55.66,26.9,1656000,6.5,912700
2023,12,9,34.48,43.32,34.92,43.32,37.75,38.66,34.65,31.24,46.56,45.16,56.82,26.93,1657600,7.6,911500
2021,1,10,36.4,44.03,36.34,44.95,41.84,39.31,31.79,29.33,37.13,39.75,43.74,25.74,2606000,6.3,1458000
2021,2,10,36.65,42.03,36.14,43.29,42.61,39.94,32.22,30.17,37.46,40.26,45.09,26.9,2608647,5.2,1459300
2021,3,10,36.16,43.54,36.57,41.99,41.28,39.12,32.3,32.68,35.71,40.87,44.06,24.55,2611296,5.7,1474400
2021,4,10,39.29,42.3,35.48,43.22,44.17,37.57,32.56,32.68,36.78,39.35,42.7,24.57,2613944,4.5,1482200
2021,5,10,36.24,42.29,35.29,44.52,43.47,39.13,33.24,32.31,35.18,40.01,43.26,23.88,2616592,4.6,1488200
2021,6,10,36.46,43.22,35.59,42.69,45.35,39.02,32.95,30.76,33.92,41.4,44.63,23.87,2619240,6.3,1497300
2021,7,10,36.74,42.6,36.12,43.55,43.68,37.51,34,30.62,35.57,41.22,44.23,25.3,2621888,6.5,1513800
2021,8,10,35.79,42.91,35.98,43.65,44.68,37.39,34.26,35.69,35.9,42.3,45.22,24.69,2624536,4.9,1530400
2021,9,10,35.49,45.07,34.27,44.96,44.92,38.99,33.5,34.42,35.57,42.98,44.84,24.83,2627184,4.4,1529900
2021,10,10,38.62,44.95,35.24,44.35,43.61,37.24,34.56,35.29,34.09,41.97,46.22,24.7,2629832,5.9,1527000
2021,11,10,36.79,45.12,35.54,44.37,45.12,37.05,33.17,34.92,34.82,41.23,45.85,24.08,2632480,6,1522900
2021,12,10,38.43,45.52,33.05,44.19,46.95,36.66,32.99,35.57,35.29,45.19,46.94,26.41,2635128,5.4,1523600
2022,1,10,38.21,45.64,33.87,45.63,44.82,37.63,32.54,34.4,35.31,43.57,46.28,25.71,2635050,6.8,1519400
2022,2,10,38.27,42.5,34.1,44.93,44.68,36.71,34.02,34.78,36.8,44.34,46.74,25.69,2638103,4.9,1524000
2022,3,10,38,40.91,34,44.57,44.92,37.06,33.41,36.73,36.45,43.85,46.86,26.64,2641156,4.9,1529100
2022,4,10,39.93,41.69,34.94,46.33,48.66,37.76,33.25,37.88,38.37,42.67,45.35,26.42,2644209,6.9,1540600
2022,5,10,39.07,43.66,33.9,46.54,46.61,38.84,33.35,36.54,37.08,43.44,45.56,26.86,2647262,6.2,1545800
2022,6,10,41.9,43.17,35.96,46.48,46.42,39.43,35.08,36.07,36.98,41.9,44.41,25.45,2650315,5,1549200
2022,7,10,40.02,42.32,38.37,46.04,46.29,36.8,34.18,36.07,39.16,41.23,44.67,26,2653368,4.5,1551500
2022,8,10,39.72,40.49,37.16,44.09,49.77,36.76,34.57,35.36,38.28,41.71,45.6,27.18,2656421,6.2,1552600
2022,9,10,39.38,40.97,36.69,45.73,48.06,38.8,35.17,38.16,38.73,39.89,44.71,28.55,2659474,5.9,1556200
2022,10,10,39.39,41.41,38.64,45.16,46.29,42.05,34.16,36.52,38.85,41.51,46.35,30.97,2662527,5.8,1556400
2022,11,10,39.94,40.53,37.27,45.83,46.61,41,34.92,35.97,37.57,42.54,46.78,29.55,2665580,7.2,1553500
2022,12,10,39.81,40.08,39.09,46,44.23,42.06,36.93,36.48,37.31,41.38,45.52,29.07,2668633,5.6,1548700
2023,1,10,42.76,40.57,40.59,45.74,46.14,42.54,36.72,38.51,37.08,42.46,48.49,28.94,2671686,5.4,1543500
2023,2,10,41.92,39.47,40.14,47.17,48.21,42.42,35.34,37.35,35.48,43.79,48.68,30.17,2674739,7.2,1546500
2023,3,10,41.46,40.01,41.1,49.34,45.48,43.08,35.83,36.09,36.35,43.08,47.31,29.34,2677792,5.9,1549900
2023,4,10,42.13,41.12,40.71,47.98,48.68,43.73,36.23,35.45,37.19,41.96,47.29,29.43,2680845,5.7,1557300
2023,5,10,42.56,43.31,41.47,49.38,43.88,44.66,36.6,37.07,39.29,41.8,46.88,29.85,2683898,5.3,1565000
2023,6,10,42.29,45.01,39.2,48.88,45.95,43.93,36.82,37.5,39.3,41.19,47.63,29.27,2686951,6.2,1574100
2023,7,10,41.32,43.02,40.6,49.47,49.03,41.13,37.17,36.75,37.96,41.25,46.84,29.36,2690004,6.1,1583000
2023,8,10,41.21,43.51,39.13,48.34,46.44,40.85,37.73,35.51,36.54,40.76,46.4,30.41,2693057,6.3,1588500
2023,9,10,41.58,42.67,41.51,47.58,51.33,43.66,38.43,37.4,36.84,41.18,46.13,28.12,2696110,7.1,1598100
2023,10,10,40.86,42.62,39.98,47.66,48.92,41.94,42.24,37.1,36.99,40.67,46.91,28.05,2699163,5.6,1607100
2023,11,10,40.62,44.4,40.72,48.82,50.7,42.9,39.79,36.08,37.56,43.38,47.34,26.45,2702216,5.5,1610500
2023,12,10,41.21,43.02,39.98,47.66,48.92,41.94,38.43,37.4,36.54,40.76,46.4,30.41,2705269,7.2,1610900
