Year,Month,CityID,Aircraft_Movement_Rate,Fuel_Price,Passenger_Growth_Rate
2021,1,3,1.34,102.8,24.41
2021,2,3,-26.08,111.3,10.45
2021,3,3,45.96,117.3,9.32
2021,4,3,-8.9,123.6,12.15
2021,5,3,-4.03,127.3,13.67
2021,6,3,14.82,130.3,9.59
2021,7,3,11.47,135.6,9.03
2021,8,3,12.12,135.2,10.44
2021,9,3,6.21,133.1,16.93
2021,10,3,-0.66,140.8,26.07
2021,11,3,-5.88,141.9,32.62
2021,12,3,-15.93,139.5,32.22
2022,1,3,-3.66,138.9,32.19
2022,2,3,-5.02,145.4,34.75
2022,3,3,32.89,164.7,36.74
2022,4,3,-6.57,155.5,36.01
2022,5,3,23.55,167.4,30.28
2022,6,3,-4.42,189.5,29.95
2022,7,3,1.61,183.1,31.13
2022,8,3,7.16,153,31.3
2022,9,3,-3.03,144.2,33.01
2022,10,3,-4.01,167.1,33.47
2022,11,3,-15.64,149.3,37.22
2022,12,3,-11.07,124.2,38.18
2023,1,3,16.43,128.6,40.38
2023,2,3,-15.09,125.5,40.29
2023,3,3,31.3,132.2,39.37
2023,4,3,-7.07,145.1,38.81
2023,5,3,11.3,146,32.67
2023,6,3,-1.12,144.6,35.01
2023,7,3,3.59,141.3,34.9
2023,8,3,1.56,146.8,34.66
2023,9,3,-4.02,143.1,37.11
2023,10,3,-6.41,137.6,37.25
2023,11,3,-1.9,130.1,41.47
2023,12,3,2.02,120,42.85
2021,1,6,-13.6,107.5,0
2021,2,6,-20.2,115.4,0
2021,3,6,15.24,125,0
2021,4,6,12.92,125.1,0
2021,5,6,-0.54,127.6,0
2021,6,6,3.62,129.2,0
2021,7,6,38.58,135.4,0
2021,8,6,38.45,134.1,0
2021,9,6,13.72,135.1,0.79
2021,10,6,1.03,142.4,1.8
2021,11,6,-19.37,140.8,1.55
2021,12,6,7.22,130.7,2.53
2022,1,6,-31.85,141.4,5.08
2022,2,6,-8.63,153.8,10.42
2022,3,6,32.21,171.1,14.2
2022,4,6,16.35,169.1,10.8
2022,5,6,43.22,195.8,6.48
2022,6,6,8.28,208.1,9.09
2022,7,6,13.24,187.1,10.32
2022,8,6,-2.72,170.2,9.92
2022,9,6,-12.91,153.5,9.91
2022,10,6,-1.42,167.2,8.75
2022,11,6,-24.19,170.2,6.44
2022,12,6,2.16,144,9.52
2023,1,6,-15.06,151.3,16.71
2023,2,6,-2.72,151.4,24.38
2023,3,6,15.7,150.1,26.22
2023,4,6,13.07,163.2,24.31
2023,5,6,12.54,151.4,9.25
2023,6,6,-0.41,153.1,11.26
2023,7,6,12.06,174.7,9.93
2023,8,6,0.96,185,8.58
2023,9,6,-14.88,182.2,10.36
2023,10,6,2.65,166.3,9.47
2023,11,6,-18.48,161.6,10.54
2023,12,6,3.32,154.3,15.16
2021,1,5,5.72,100.9,4.22
2021,2,5,-23.55,109,0.44
2021,3,5,56.43,114.5,0
2021,4,5,-1.78,119.9,0
2021,5,5,-12.87,123.4,0
2021,6,5,0.54,125.6,0
2021,7,5,11.71,133,0
2021,8,5,7.97,132.3,0.23
2021,9,5,8.18,129.5,1.46
2021,10,5,3.35,138.3,4.85
2021,11,5,-1.9,136,13.46
2021,12,5,-25.67,130.6,13.99
2022,1,5,1.96,133.7,13.54
2022,2,5,5.59,142.2,16.11
2022,3,5,19.5,161.7,16.63
2022,4,5,5.58,150.5,16.56
2022,5,5,7.68,163.3,9.82
2022,6,5,-4.45,186,8.29
2022,7,5,6.36,179.1,8.03
2022,8,5,2.46,147.3,7.82
2022,9,5,-8.26,136.8,8.81
2022,10,5,-1.56,163.4,11.89
2022,11,5,-11.36,148.1,20.84
2022,12,5,-10.04,126.2,22.41
2023,1,5,13.94,127.4,25.56
2023,2,5,-3.19,123,27.61
2023,3,5,19.3,129,24.92
2023,4,5,-8.67,140.4,22.33
2023,5,5,19,138.1,13.17
2023,6,5,-2.06,139.4,12.02
2023,7,5,-3.41,136.7,11.05
2023,8,5,3.13,142.5,11.17
2023,9,5,-7.88,141.8,12.55
2023,10,5,2.32,138.7,16.39
2023,11,5,-6.68,132.9,25.43
2023,12,5,1.92,122.2,27.03
2021,1,7,-11.97,134.6,32.39
2021,2,7,-16.56,141.2,22.34
2021,3,7,13.93,149.6,21.22
2021,4,7,-1.23,152.2,24.69
2021,5,7,8.25,155.6,28.46
2021,6,7,20.52,161.1,22.54
2021,7,7,41.68,169.1,18.88
2021,8,7,19.79,165.6,19.66
